Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2022-12-08,32,1613.775964481797,1472.3591612042576,,,,,,,1.0324575391385202,13.107512474060059,0.2715886840170091,2420,,,,,1326020,
2022-12-09,39,1629.1606643217983,1712.7562066147525,,,,,,,0.6435914866900582,1.8300000429153442,0.2500758701477128,2635,,,,,1630861,
2022-12-10,46,1641.3206809459953,1917.7163163745015,,,38.8602294921875,-94.68878936767578,38.86035919189453,-94.6886215209961,0.6802902826023068,1.568089158356653,0.2502721921553227,2897,,,,,1355619,222581
2022-12-11,225,2149.788017055612,11321.010610801659,74.0,74,47.44150924682617,-122.33454895019531,47.66154861450195,-122.29778289794922,0.5856544481090162,2.060744893683207,0.24549380743715044,17841,,,,,11946775,
2022-12-12,177,2040.1428594682602,12337.551645760668,37.0,37,47.621341705322266,-122.35090637207031,47.621341705322266,-122.35090637207031,0.7693326258309454,1.7705327077532158,0.24898949228122919,17901,,,,,9774278,
2022-12-13,123,1871.8290128959277,5708.598919529345,20.0,20,49.283538818359375,-123.12142181396484,49.2899284362793,-123.10882568359375,3.6933593563070968,17.850000381469727,0.24753764365894207,9742,,,,,6439221,
2022-12-14,222,2137.0455264487846,10876.993171772798,39.0,39,49.278770446777344,-123.1252670288086,49.34408187866211,-123.10940551757812,0.8787857543083281,4.845010757446289,0.0886197709606511,17256,,,,,11694360,
2022-12-15,201,2034.164514088867,9313.950877159414,21.0,21,49.2701416015625,-123.13638305664062,49.2797737121582,-123.11517333984375,0.6317557604010295,2.0800530910491943,0.0253442060265946,15247,,,,,9655819,
2022-12-16,142,1938.3292626307389,7670.775775980607,46.0,46,49.28303909301758,-123.13674926757812,49.300838470458984,-123.116943359375,0.6715062281629116,5.190000057220459,0.24753423505072544,11698,,,,,7756892,
2022-12-17,187,2024.7153643932547,8924.207092808701,48.0,48,47.438987731933594,-122.52082824707031,47.625057220458984,-122.29776763916016,0.8206837132779629,3.1257363536937546,0.040304312494124264,14161,,,,,9468589,
2022-12-18,18,1596.113810482509,802.3047100642762,,,,,,,0.534132530086927,1.1136578576120924,0.29422107435175987,1306,,,,,976052,
2022-12-19,,1546.8543701171877,19.011207881190636,,,,,,,0.30553726951913524,0.30553726951913524,0.30553726951913524,166,,,,,,
2022-12-20,4,1557.9257927131653,195.51003996230241,,,,,,,0.5372514475871947,1.0177961571778176,0.2602724888496337,306,,,,,219375,
2022-12-21,2,1558.0342276958,106.59855847667608,,,,,,,0.529711831674327,0.724666023464812,0.339485836530118,180,,,,,221523,
2022-12-22,,1546.8543701171875,25.121953271573343,,,,,,,1.3947614709521337,2.3735995292663574,0.3394858221370131,53,,,,,,
2022-12-23,3,1546.8543701171875,160.91629528007786,,,,,,,0.9911779102572412,1.6833056211471558,0.24367538444963746,276,,,,,,
2022-12-24,20,1567.2442085222656,734.3119836193348,,,,,,,0.37987715555235396,0.9756886688035243,0.28290487918438445,1239,,,,,404015,
2022-12-25,60,1610.2645646277656,2408.7356748352677,,,38.86021423339844,-94.68878936767578,38.86030960083008,-94.68866729736328,0.5232376441380374,1.6853121519088745,0.24465249820733534,3785,,,,,1256443,
2022-12-26,29,1588.369265089751,1159.0368644297323,,,,,,,0.506320863207866,2.788034200668335,0.2602724888496337,2105,,,,,822598,
2022-12-27,20,1553.3944203114556,947.0399787613728,,,,,,,0.644430247060141,1.4384947793548695,0.2602724888496337,1487,,,,,129588,
2022-12-28,8,1586.0064027101675,381.21816289300693,,,,,,,0.9171941922665356,1.6150281429290771,0.28290487918438445,622,,,,,775779,
2022-12-29,2,1546.854370117187,152.0896630495251,,,,,,,0.47475806775871393,1.2035330533981323,0.30553726951913524,270,,,,,,
2022-12-30,10,1561.8986560182566,382.02264179613536,,,,,,,0.38558896091460504,1.1327138307972675,0.2777065348309404,586,,,,,298096,
2022-12-31,30,1600.8027139783917,1209.759925726859,1.0,1,38.835941314697266,-94.6688232421875,38.8359489440918,-94.66881561279297,0.7096692370813026,2.513127088546753,0.2628762161697175,1793,,,,,1068962,
2023-01-01,17,1565.3282739605897,735.8326013714146,,,,,,,0.5573379069493178,2.8956732749938965,0.2715886840170091,1205,,,,,366051,
2023-01-02,,1546.8543701171875,,,,,,,,,,,23,,,,,,
2023-01-03,25,1575.0499495239462,941.6151286719927,,,,,,,0.9490640489305339,3.5312087535858154,0.31786800517385266,1518,,,,,558481,
2023-01-04,11,1567.9795117473657,499.17475109332054,,,,,,,0.5675934906658142,1.1734611018481385,0.2715886840170091,789,,,,,418584,
2023-01-05,20,1587.784665098073,863.0903094771572,,,,,,,0.8296808473111879,1.6340756540484958,0.29422107435175987,1402,,,,,811015,
2023-01-06,3,1552.7626615966685,213.56374837331916,,,,,,,0.42256265899588363,0.9503834539317194,0.3168534646865106,424,,,,,117070,
2023-01-07,,1546.8543701171875,,,,,,,,,,,16,,,,,,
2023-01-08,39,1641.2343058833414,1372.2404659107551,,,,,,,0.5123463628097044,3.315091848373413,0.2602724888496337,2243,,,,,1870094,
2023-01-09,4,1549.41536995597,287.5432566227158,,,,,,,0.3689239912795633,0.5031434927074743,0.25142991012499555,644,,,,,50745,
2023-01-10,30,1589.9719155096275,1133.393573448528,,,,,,,0.6595849900059577,11.608890533447266,0.24445619293372414,1996,,,,,854355,
